scenario,controller,seed,route_completed,collision_proxy,static_collision,min_gt_distance,personal_space_violation_s,personal_space_violation_fraction,integrated_social_cost,mean_social_cost,min_social_norm,travel_time,observed_duration,path_length,stop_count,stop_duration,steering_time,avoid_time,direction_switches,omega_variation,control_effort,yolo_responses_s,rtf,resume,max_tracks,gpu_peak_mib,ram_peak_gib,source_run,repeated_exposures_skipped,physical_human_count,min_human_walk_distance_m,functional_pass,planner_p95_ms,max_planned_humans,group_plan_count,social_changes_argmin,no_safe_plans,commitment_plans,commitment_violations,held_opposite_plans
blind_corner,baseline,17,True,False,False,1.1396856148866137,0.0,0.0,1.8723537326372401,0.05474718230954352,1.3701368075764062,34.216668451204896,34.200001783668995,8.209416666666614,1,5.700000297278166,1.7333334237337112,0.6666667014360428,1,1.4008698366067232,0.14464392558226655,7.343056666294845,0.7387251374098633,True,2,3359.0,13.48727035522461,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\blind_corner\baseline\seed_17\run_01,1,1,10.149355399424362,True,,,,,,,,
blind_corner,baseline,23,True,False,False,1.1396856148866137,0.0,0.0,1.8723537326372401,0.05474718230954352,1.3701368075764062,34.216668451204896,34.200001783668995,8.209416666666614,1,5.700000297278166,1.7333334237337112,0.6666667014360428,1,1.4008698366067232,0.14464392558226655,6.104785545322037,0.619313710637017,True,2,3521.0,13.809017181396484,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\blind_corner\baseline\seed_23\run_01,4,1,10.149355399424362,True,,,,,,,,
blind_corner,baseline,31,True,False,False,1.1396856148866137,0.0,0.0,1.8723537326372401,0.05474718230954352,1.3701368075764062,34.216668451204896,34.200001783668995,8.209416666666614,1,5.700000297278166,1.7333334237337112,0.6666667014360428,1,1.4008698366067232,0.14464392558226655,6.361822926256961,0.6527026411589585,True,2,3297.0,13.73553466796875,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\blind_corner\baseline\seed_31\run_01,8,1,10.149355399424362,True,,,,,,,,
blind_corner,social_nav,17,True,False,False,1.0713386586618185,0.0,0.0,1.6351441257899268,0.04980134133534578,1.3360056187167815,32.85000171326101,32.83333504572511,8.20263888888878,2,1.7166667561978102,0.0,0.0,0,0.0,0.0,6.7088430949679125,0.675731774720861,True,2,3359.0,13.917167663574219,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\blind_corner\social_nav\seed_17\run_01,1,1,10.068456287313575,True,2.1915000001172302,2,0,4,9,0,0,0
blind_corner,social_nav,23,True,False,False,1.0713386586618185,0.0,0.0,1.6365243999690302,0.049995651159398254,1.3360056187167815,32.7500017080456,32.7333350405097,8.203638888888781,2,1.7333334237337112,0.0,0.0,0,0.0,0.0,5.982995099837792,0.6079213174346981,True,2,3396.0,13.724185943603516,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\blind_corner\social_nav\seed_23\run_01,4,1,10.066466560534323,True,2.2677600004499254,2,0,5,10,0,0,0
blind_corner,social_nav,31,True,False,False,1.1106982257997393,0.0,0.0,1.8130023536311866,0.05078437700492298,1.3475040810246268,35.71666852943599,35.70000186190009,8.202083333333224,3,4.683333577588201,0.0,0.0,0,0.0,0.0,6.332641115917433,0.6437900985053407,True,2,3352.0,13.482158660888672,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\blind_corner\social_nav\seed_31\run_01,5,1,10.192773797298512,True,2.771859999484149,2,0,4,14,0,0,0
circular,baseline,17,True,False,False,1.2606940571058098,0.0,0.0,3.501834285021875,0.10324817992295807,1.160561174358661,33.93333510309458,33.91666843555868,8.21469444444443,2,4.116666881367564,3.400000177323818,1.183333395048976,3,2.7892253365798925,0.2284101338100527,5.690681265840262,0.5792780665266994,True,4,3497.0,15.260143280029297,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\circular\baseline\seed_17\run_01,5,3,6.303017788458014,True,,,,,,,,
circular,baseline,23,True,False,False,1.2606940571058098,0.0,0.0,3.5041022404708784,0.10331504838479749,1.160561174358661,33.93333510309458,33.91666843555868,8.212694444444445,2,4.116666881367564,3.400000177323818,1.183333395048976,3,2.7888135008432755,0.22838566549239192,5.7826356844699545,0.5936839612352784,True,4,3459.0,14.045318603515625,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\circular\baseline\seed_23\run_01,8,3,6.303017788458014,True,,,,,,,,
circular,baseline,31,True,False,False,1.2606941242273633,0.0,0.0,3.505334334857449,0.10335137549012363,1.160561174358661,33.93333510309458,33.91666843555868,8.211694444444428,2,4.133333548903465,3.400000177323818,1.183333395048976,3,2.788988742806012,0.22838340801941928,7.080694655957026,0.7167126044331515,True,4,3498.0,13.11297607421875,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\circular\baseline\seed_31\run_01,3,3,6.303788537902961,True,,,,,,,,
circular,social_nav,17,True,False,False,1.1926562383978132,0.0,0.0,3.38461795199247,0.0885639191139354,1.1648995666328477,38.233335327357054,38.21666865982115,8.202000000000034,4,6.683333681896329,0.20000001043081284,0.20000001043081284,0,0.579324624416119,0.00227775429070967,5.928337571397939,0.6115815232364016,True,4,3459.0,15.07834243774414,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\circular\social_nav\seed_17\run_01,11,3,6.346914134113497,True,2.414959999259735,4,9,4,32,12,0,8
